1,1,北海道,,
2,2,青森県,,
3,2,岩手県,,
4,2,宮城県,,
5,2,秋田県,,
6,2,山形県,,
7,2,福島県,,
8,3,東京都,,
9,3,神奈川県,,
10,3,埼玉県,,
11,3,船橋県,,
12,3,茨城県,,
13,3,栃木県,,
14,3,群馬県,,
15,3,山梨県,,
16,4,新潟県,,
17,4,長野県,,
18,5,富山県,,
19,5,石川県,,
20,5,福井県,,
21,6,愛知県,,
22,6,岐阜県,,
23,6,静岡県,,
24,6,三重県,,
25,7,大阪府,,
26,7,兵庫県,,
27,7,京都府,,
28,7,滋賀県,,
29,7,奈良県,,
30,7,和歌山県,,
31,8,鳥取県,,
32,8,島根県,,
33,8,岡山県,,
34,8,広島県,,
35,8,山口県,,
36,9,徳島県,,
37,9,うどん県,,
38,9,愛媛県,,
39,9,高知県,,
40,10,福岡県,,
41,10,佐賀県,,
42,10,長崎県,,
43,10,くまもん,,
44,10,大分県,,
45,10,宮崎県,,
46,10,鹿児島県,,
47,11,沖縄県,,
